ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;683;0;3;03;00;01;10;55; 1; 2; 1;05;2;080;05
2018;684;0;5;01;00;00; 1;72; 6; 1; 2;02;1; -9;02
2018;685;0;1;02;00;02; 5;51; 1; 4; 1;07;1;135;09
2018;686;0;2;02;00;02; 5;56; 6; 2; 1;03;1;068;06
2018;687;0;4;02;00;02; 5;54; 1; 3; 1;03;1;096;06
2018;688;0;3;03;00;00;10;83; 6; 1; 2;02;1;058;03
2018;689;0;5;04;02;02; 7;42; 1; 4; 1;07;1;135;09
2018;690;0;5;02;00;02; 5;55; 1; 2; 1;03;1;090;05
2018;691;0;1;04;02;02; 7;34; 1; 4; 1;07;2;090;07
2018;692;0;1;03;00;00;10;65; 1; 1; 2;03;1;057;04
2018;693;0;5;01;00;00; 3;24; 1; 4; 2;02;1;120;02
2018;694;0;3;01;00;00; 2;63; 1; 1; 2;02;5;100;02
2018;695;0;1;02;00;01; 4;66; 1; 4; 1;03;3;095;04
2018;696;0;3;02;00;00; 4;76; 1; 1; 2;04;1;100;04
2018;697;0;4;02;00;01; 5;53; 1; 3; 1;02;1;070;02
2018;698;0;5;03;00;00; 6;58; 1; 2; 2;03;1;087;03
2018;699;0;4;01;00;01; 2;44; 1; 2; 1;03;2;080;03
2018;700;0;3;06;01;02; 8;50; 1; 2; 1;03;3;090;04
2018;701;1;5;04;00;03;10;53; 1; 2; 1;03;1;080;06
2018;702;0;5;03;00;01;10;47; 1; 2; 1;02;1;100;05
2018;703;0;3;02;00;00; 4;81; 1; 1; 2;02;1;090;03
2018;704;0;1;02;00;00;10;76; 6; 4; 2;03;1;110;04
2018;705;0;1;03;00;01;10;45; 1; 4; 1;04;1;085;07
2018;706;0;2;01;00;00; 2;41; 6; 4; 2;  ;2;084;01
2018;707;0;2;03;01;02; 6;37; 6; 4; 1;05;3;090;07
2018;708;0;1;04;01;02; 7;44; 1; 2; 1;03;2;073;05
